tau_fail,tau_pass,coverage_early,n_committed_fail,n_committed_pass,n_fallback,accuracy,macro_f1,precision_fail,precision_pass,mean_tokens,median_tokens
0.0,0.0,1.0,5562,627,0,0.8700920988851187,0.5231876947607677,0.9586479683567062,0.08452950558213716,256.0,256.0
0.0,0.05,1.0,5581,608,0,0.8731620617224107,0.5253146654731055,0.9587887475362838,0.08717105263157894,257.0754564550008,256.0
0.0,0.1,1.0,5595,594,0,0.8754241396025206,0.5269144708749236,0.9588918677390528,0.08922558922558922,257.944094360963,256.0
0.0,0.15,1.0,5618,571,0,0.8784941024398125,0.5270914096799917,0.9587041651833392,0.0893169877408056,259.9295524317337,256.0
0.0,0.2,1.0,5636,553,0,0.8810793343027953,0.527925056730609,0.9586586231369766,0.09041591320072333,260.9222814671191,256.0
0.0,0.25,1.0,5656,533,0,0.883664566165778,0.527687047834183,0.9584512022630834,0.0900562851782364,262.3700113103894,256.0
0.0,0.3,1.0,5694,495,0,0.8891581838746162,0.5295569984930414,0.958377239199157,0.09292929292929293,264.975925028276,256.0
0.0,0.35,1.0,5722,467,0,0.8933591856519632,0.5316202270381837,0.9584061516952115,0.09635974304068523,267.37502019712394,256.0
0.0,0.4,1.0,5751,438,0,0.8977217644207465,0.5338752842606937,0.9584420100852026,0.1004566210045662,269.1950234286638,256.0
0.0,0.45,1.0,5815,374,0,0.9061237679754403,0.5330540858833948,0.9578675838349097,0.10160427807486631,275.1100339311682,256.0
0.0,0.49,0.998868961059945,5912,270,7,0.9198578122475359,0.5361579189130382,0.9575439783491204,0.11552346570397112,286.00694781063174,256.0
0.05,0.0,1.0,5559,630,0,0.8696073679108095,0.522856314446224,0.9586256520957007,0.08412698412698413,256.74454677653904,256.0
0.05,0.05,1.0,5578,611,0,0.8726773307481015,0.5249755130569757,0.9587665830046612,0.0867430441898527,257.82000323153983,256.0
0.05,0.1,1.0,5592,597,0,0.8749394086282113,0.5265692452442322,0.9588698140200286,0.08877721943048576,258.68864113750203,256.0
0.05,0.15,1.0,5615,574,0,0.8780093714655033,0.5267436653902867,0.9586821015138023,0.08885017421602788,260.67409920827276,256.0
0.05,0.2,1.0,5632,557,0,0.8807561803199224,0.5287330064631156,0.9588068181818182,0.09156193895870736,261.74955566327355,256.0
0.05,0.25,1.0,5652,537,0,0.8833414121829052,0.5285223200908251,0.9585987261146497,0.09124767225325885,263.1972855065439,256.0
0.05,0.3,1.0,5690,499,0,0.8888350298917435,0.53043689992757,0.958523725834798,0.09418837675350701,265.80319922443044,256.0
0.05,0.35,1.0,5718,471,0,0.8930360316690903,0.532532389768904,0.9585519412381952,0.09766454352441614,268.2022943932784,256.0
0.05,0.4,1.0,5747,442,0,0.8973986104378736,0.5348227628226563,0.9585870889159561,0.10180995475113122,270.10502504443366,256.0
0.05,0.45,1.0,5812,377,0,0.9059621909840039,0.5342573197411907,0.9580178940123881,0.10344827586206896,276.26821780578445,256.0
0.05,0.49,0.998868961059945,5910,272,7,0.9195346582646631,0.5358663805877548,0.9575296108291033,0.11469534050179211,287.6614962029407,256.0
0.1,0.0,1.0,5553,636,0,0.8689610599450638,0.5233724891914885,0.958761030073834,0.08490566037735849,258.06818549038616,256.0
0.1,0.05,1.0,5574,615,0,0.8720310227823558,0.524525271024266,0.9587369931826336,0.08617886178861789,259.39182420423333,256.0
0.1,0.1,1.0,5590,599,0,0.8746162546453385,0.5263398330800657,0.9588550983899821,0.08848080133555926,260.5913717886573,256.0
0.1,0.15,1.0,5613,576,0,0.8776862174826304,0.5265126069486249,0.9586673792980581,0.08854166666666667,262.65955727904344,256.0
0.1,0.2,1.0,5630,559,0,0.8804330263370496,0.5284965622436508,0.9587921847246892,0.09123434704830054,263.8177411536597,256.0
0.1,0.25,1.0,5650,539,0,0.8830182582000323,0.528284987354501,0.9585840707964601,0.09090909090909091,265.26547099693005,256.0
0.1,0.3,1.0,5688,501,0,0.8885118759088706,0.5301922088483487,0.9585091420534458,0.09381237524950099,267.8713847148166,256.0
0.1,0.35,1.0,5716,473,0,0.8927128776862174,0.5322800490585725,0.9585374387683695,0.09725158562367865,270.27047988366456,256.0
0.1,0.4,1.0,5745,444,0,0.8970754564550008,0.5345615025340966,0.9585726718885987,0.10135135135135136,272.1732105348198,256.0
0.1,0.45,1.0,5809,380,0,0.9054774600096946,0.5338555396550425,0.9579962127732828,0.10263157894736842,278.5018581354015,256.0
0.1,0.49,0.998868961059945,5909,273,7,0.9193730812732267,0.535721142029016,0.9575224234218987,0.11428571428571428,290.1433187914041,256.0
0.15,0.0,1.0,5546,643,0,0.8681531749878817,0.5237682836578104,0.9588892895780743,0.08553654743390357,259.1850056551947,256.0
0.15,0.05,1.0,5567,622,0,0.8712231378251737,0.5249347856341071,0.9588647386384049,0.08681672025723473,260.50864436904186,256.0
